№ анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Насколько Вы удовлетворены выбором Вашей образовательной программы?
";"Если бы у Вас была возможность выбрать снова, Вы бы выбрали ту же образовательную программу?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.1 Личный интерес к предметной области (что Вам было интересно изучать) ?


";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.2. Ваши знания по школьным предметам (например: математика, физика, биология, история и т.д.)?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.3.Ваши личные навыки и способности (логика, коммуникация, творчество, практические умения и др.) ?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.4. Совпадение программы с Вашими личными ценностями (например: помогать людям, заниматься инновациями, реализовывать творчество) ?
";"Повлияло ли на ваш выбор наличие гранта/поступление по гранту?
";"Ваш курс обучения:
";"Пол:
"
1440;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1441;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1442;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Важно;Важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1443;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1444;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Очень важно;Очень важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
1445;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Средне важно;Очень важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1446;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее не удовлетворён;Нет;Важно;Важно;Очень важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1447;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1448;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1449;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1450;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Женский
1451;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
1452;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Не важно;Не важно;Маловажно;Маловажно;Нет, грант не имел значения;3 курс;Женский
1453;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1454;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Маловажно;Нет, грант не имел значения;3 курс;Женский
1455;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1456;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Русский язык;Русский язык;Полностью удовлетворён;Нет;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1457;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1458;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1459;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Маловажно;Маловажно;Не важно;Не важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1460;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Не важно;Маловажно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1461;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1462;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Не важно;Очень важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1463;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Важно;Средне важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1464;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Очень важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
1465;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Средне важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1466;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1467;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1468;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1469;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Важно;Важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1470;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1471;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Важно;Очень важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1472;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Не важно;Маловажно;Маловажно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1473;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Очень важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1474;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1475;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Маловажно;Важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1476;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
1477;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Не важно;Не важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1478;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1479;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Очень важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1480;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее не удовлетворён;Нет;Средне важно;Важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1481;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1482;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Средне важно;Не важно;Важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1483;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Средне важно;Средне важно;Важно;Очень важно;Нет, грант не имел значения;3 курс;Женский
1484;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Средне важно;Не важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1485;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1486;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Важно;Нет, грант не имел значения;3 курс;Женский
1487;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Совсем не удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1488;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1489;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1490;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1491;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1492;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1493;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1494;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1495;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1496;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1497;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Очень важно;Маловажно;Средне важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1498;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1499;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1500;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1501;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Очень важно;Не важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1502;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
1503;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Не важно;Средне важно;Не важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1504;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1505;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1506;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1507;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Совсем не удовлетворён;Нет;Маловажно;Средне важно;Средне важно;Не важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1508;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
1509;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Маловажно;Средне важно;Средне важно;Очень важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1510;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Маловажно;Средне важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1511;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1512;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1513;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1514;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Мужской
1515;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1516;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1517;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1518;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Подготовка учителей географии;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1519;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1520;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1521;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Средне важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1522;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1523;Бакалавриат;Естественных наук;Кафедра Управления и инжиниринга в сфере охраны окружающей среды;Окружающая среда;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Очень важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1524;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Средне важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1525;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1526;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Очень важно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1527;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1528;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1529;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
1530;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
1531;Бакалавриат;Естественных наук;Кафедра Общей биологии и геномики;Биологические и смежные науки;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
1532;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
1533;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Русский язык;Русский язык;Скорее удовлетворён;Нет;Очень важно;Важно;Очень важно;Очень важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
1534;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1535;Бакалавриат;Естественных наук;Кафедра Биотехнологии и микробиологии;Биологические и смежные науки;3;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
1536;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
1537;Бакалавриат;Естественных наук;Кафедра Химии;Химия;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Важно;Важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
1538;Бакалавриат;Естественных наук;Кафедра Физической и экономической географии;Наука о земле;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Средне важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
