Фактор;Вопрос;Направление подготовки;Балл (0–1) S;Краткое обоснование;R;1;2;3;4;5
Ценности;Для меня важно помогать другим людям.;6B041 — Бизнес и управление;0,5;Социальная ответственность бизнеса связана с поддержкой общества.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B052 — Окружающая среда;0,6;Экология защищает людей и их здоровье.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B051 — Биологические и смежные науки;0,5;Биомедицинские исследования направлены на помощь здоровью людей.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B053 — Физические и химические науки;0,4;Косвенно помогают через развитие технологий, но это не основа.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B054 — Математика и статистика;0,3;Помощь косвенная — через анализ данных, но не прямая.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B061 — Информационно-коммуникационные технологии;0,5;IT-проекты могут быть социально ориентированными.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B062 — Телекоммуникации;0,4;Помощь людям через развитие связи и коммуникаций.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B063 — Информационная безопасность;0,4;Защита личных данных также является формой помощи.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B071 — Инженерия и инженерное дело;0,5;Создание технологий и инфраструктуры помогает обществу.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B073 — Архитектура и строительство;0,5;Создание комфортной среды для жизни — помощь людям.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B075 — Стандартизация, сертификация и метрология;0,4;Обеспечение качества продукции и безопасности.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B111 — Сфера обслуживания;0,8;Помощь людям заложена в самой сути профессии.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B113 — Транспортные услуги;0,7;Обеспечение передвижения и комфорта — помощь обществу.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B022 — Гуманитарные науки;0,5;Косвенно через формирование ценностей и смыслов.;;;;;;
Ценности;Для меня важно помогать другим людям.;6B023 — Языки и литература;0,5;Литература и язык помогают формировать мировоззрение и ценности.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B114 — Социальная работа;1;Прямое совпадение: главная цель профессии — помощь людям и обществу.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B018 — Подготовка специалистов по социальной педагогике;1;Работа направлена на воспитание, адаптацию и развитие личности в обществе.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B011 — Педагогика и психология;0,9;Педагог и психолог способствуют развитию личности и социальной гармонии.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B012 — Педагогика дошкольного воспитания и обучения;0,9;Развитие детей и воспитание граждан — социально значимая миссия.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B013 — Подготовка учителей без предметной специализации;0,9;Учителя младших классов вносят прямой вклад в формирование общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,9;Учителя начальной школы формируют основы личности и ценностей.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B015 — Подготовка учителей по естественнонаучным предметам;0,8;Образование и наука приносят пользу обществу через знания.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B016 — Подготовка учителей по гуманитарным предметам;0,9;Формирование критического мышления и гражданской позиции у школьников.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B017 — Подготовка учителей по языкам и литературе;0,8;Культура, язык и литература формируют идентичность общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B021 — Искусство;0,8;Искусство влияет на общество, воспитывает вкус и ценности.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B022 — Гуманитарные науки;0,8;Гуманитарии анализируют ценности, культуру и общественные процессы.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B023 — Языки и литература;0,7;Литература и язык формируют культурное самосознание общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B031 — Социальные науки;1;Социология, политология и экономика направлены на развитие общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B032 — Журналистика и информация;0,9;Журналисты доносят важную общественную информацию и влияют на сознание.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B041 — Бизнес и управление;0,7;Бизнес влияет на общество через создание рабочих мест и инициатив.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B042 — Право;0,9;Юристы защищают права граждан и обеспечивают справедливость.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B052 — Окружающая среда;0,9;Экология напрямую связана с защитой интересов общества и будущих поколений.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B051 — Биологические и смежные науки;0,8;Наука приносит обществу здоровье и устойчивое развитие.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B053 — Физические и химические науки;0,7;Результаты исследований применяются на благо общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B054 — Математика и статистика;0,7;Статистические и аналитические данные помогают обществу принимать решения.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B061 — Информационно-коммуникационные технологии;0,8;Разработка цифровых решений, улучшающих жизнь общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B062 — Телекоммуникации;0,8;Связь и коммуникации — основа функционирования современного общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B063 — Информационная безопасность;0,8;Защита информации и гражданских данных — общественно значимая функция.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B071 — Инженерия и инженерное дело;0,8;Инженеры создают инфраструктуру и технологии, полезные для общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B073 — Архитектура и строительство;0,8;Комфортная городская среда — вклад в общественное благополучие.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B075 — Стандартизация, сертификация и метрология;0,7;Обеспечивает качество и безопасность для общества.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B111 — Сфера обслуживания;0,8;Работа в сервисе ориентирована на благо и комфорт людей.;;;;;;
Ценности;Я хочу, чтобы моя работа приносила пользу обществу.;6B113 — Транспортные услуги;0,8;Обеспечение передвижения и логистики — важный вклад в жизнь общества.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B061 — Информационно-коммуникационные технологии;1;Прямое совпадение: IT — ключевая инновационная сфера.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B063 — Информационная безопасность;0,9;Кибербезопасность требует постоянных технологических инноваций.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B062 — Телекоммуникации;0,9;Развитие технологий связи — один из драйверов инноваций.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B071 — Инженерия и инженерное дело;0,9;Разработка новых устройств, систем и технологий.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B073 — Архитектура и строительство;0,8;Внедрение новых технологий проектирования и строительства.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B075 — Стандартизация, сертификация и метрология;0,8;Инновации в контроле качества и новых материалах.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B053 — Физические и химические науки;0,9;Исследования создают технологические инновации.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B051 — Биологические и смежные науки;0,9;Биотехнологии и медицина — сферы интенсивных инноваций.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B052 — Окружающая среда;0,8;Развитие «зелёных» технологий и устойчивых решений.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B054 — Математика и статистика;0,7;Алгоритмы и модели лежат в основе технологического прогресса.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B041 — Бизнес и управление;0,8;Инновационный менеджмент и предпринимательство.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B042 — Право;0,6;Право интеллектуальной собственности и инноваций.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B032 — Журналистика и информация;0,6;Медиаинновации, цифровые платформы и новые форматы.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B031 — Социальные науки;0,6;Социальные инновации и цифровая трансформация общества.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B011 — Педагогика и психология;0,5;Инновации в образовании и психотехнологии.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B012 — Педагогика дошкольного воспитания и обучения;0,4;Новые педагогические подходы и цифровые технологии в обучении.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B013 — Подготовка учителей без предметной специализации;0,4;Использование цифровых образовательных технологий.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,5;Освоение инновационных методик преподавания.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B015 — Подготовка учителей по естественнонаучным предметам;0,7;Использование лабораторных инноваций и экспериментов.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B016 — Подготовка учителей по гуманитарным предметам;0,4;Цифровизация гуманитарного образования.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B017 — Подготовка учителей по языкам и литературе;0,4;Применение технологий обучения языкам.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B018 — Подготовка специалистов по социальной педагогике;0,4;Использование инновационных подходов к работе с детьми.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B022 — Гуманитарные науки;0,5;Инновации в культурологии и философии технологий.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B023 — Языки и литература;0,4;Применение технологий анализа текстов.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B021 — Искусство;0,7;Цифровое искусство, медиаарт, дизайн и VR.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B111 — Сфера обслуживания;0,6;Новые технологии в туризме и сервисе.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B113 — Транспортные услуги;0,8;Инновации в логистике и транспорте.;;;;;;
Ценности;Для меня ценно работать в сфере инноваций и технологий.;6B114 — Социальная работа;0,5;Применение цифровых технологий в социальной сфере.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B021 — Искусство;1;Прямое совпадение: творчество — основа профессии.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B032 — Журналистика и информация;0,9;Журналистика требует креативности, написания оригинальных материалов и создания контента.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B023 — Языки и литература;0,9;Литературное творчество, сочинение текстов, художественная интерпретация.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B017 — Подготовка учителей по языкам и литературе;0,8;Работа с текстами и развитие у учащихся творческого потенциала.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B016 — Подготовка учителей по гуманитарным предметам;0,8;Гуманитарная сфера предполагает аналитико-творческую деятельность.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B011 — Педагогика и психология;0,7;Креативные методики воспитания и педагогическая импровизация.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B012 — Педагогика дошкольного воспитания и обучения;0,9;Развитие творческих способностей детей через игру и искусство.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B013 — Подготовка учителей без предметной специализации;0,8;Преподавание в начальной школе включает творческое обучение.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,8;Учитель младших классов стимулирует креативное мышление учеников.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B018 — Подготовка специалистов по социальной педагогике;0,7;Креативные подходы в воспитательной и социальной работе.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B041 — Бизнес и управление;0,8;Креативность важна для маркетинга, брендинга, предпринимательства.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B071 — Инженерия и инженерное дело;0,8;Инженерное проектирование требует творческого мышления.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B073 — Архитектура и строительство;1;Архитектура — синтез творчества и инженерии.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B061 — Информационно-коммуникационные технологии;0,8;Разработка новых цифровых решений требует креативности.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B063 — Информационная безопасность;0,6;Креативность проявляется в поиске нестандартных решений.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B062 — Телекоммуникации;0,6;Креативный подход к созданию сетевых решений.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B051 — Биологические и смежные науки;0,5;Креативность проявляется в научных исследованиях.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B052 — Окружающая среда;0,7;Эко-дизайн, просветительские инициативы, зелёные проекты.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B053 — Физические и химические науки;0,5;Творчество в поиске инновационных решений.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B054 — Математика и статистика;0,4;Абстрактное творчество в поиске математических закономерностей.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B022 — Гуманитарные науки;0,9;Философия, история, культурология — глубоко творческие дисциплины.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B075 — Стандартизация, сертификация и метрология;0,3;Акцент на точности, а не на творчестве.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B111 — Сфера обслуживания;0,8;Креативность востребована в сфере туризма и гостеприимства.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B113 — Транспортные услуги;0,5;Возможна креативность в логистике и организации маршрутов.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B114 — Социальная работа;0,7;Креативные методы поддержки и реабилитации клиентов.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B031 — Социальные науки;0,6;Креативность нужна для разработки социальных инициатив.;;;;;;
Ценности;Я хочу реализовать себя в творчестве.;6B042 — Право;0,5;Креативное толкование и применение норм, но ограничено рамками закона.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B042 — Право;1;Юридическая профессия стабильна, востребована и институционально закреплена.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B011 — Педагогика и психология;1;Сфера образования всегда востребована и стабильна в обществе.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B012 — Педагогика дошкольного воспитания и обучения;1;Постоянная потребность в воспитателях и педагогах.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B013 — Подготовка учителей без предметной специализации;1;Работа в школах гарантирует стабильность.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B014 — Подготовка учителей с предметной специализацией общего развития;1;Учителя начальных классов — стабильная и востребованная профессия.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B015 — Подготовка учителей по естественнонаучным предметам;0,9;Высокий спрос на учителей точных наук.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B016 — Подготовка учителей по гуманитарным предметам;0,9;Гуманитарные учителя востребованы в школах.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B017 — Подготовка учителей по языкам и литературе;0,9;Профессия преподавателя стабильна, особенно в языковом образовании.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B018 — Подготовка специалистов по социальной педагогике;0,9;Социальные педагоги востребованы для работы с детьми и молодёжью.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B114 — Социальная работа;0,9;Сфера социальной поддержки стабильна и имеет постоянный спрос.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B041 — Бизнес и управление;0,8;Относительно стабильная сфера, но зависит от экономики.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B075 — Стандартизация, сертификация и метрология;0,9;Государственное регулирование обеспечивает стабильность профессии.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B052 — Окружающая среда;0,8;Экологическая сфера набирает устойчивое значение.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B051 — Биологические и смежные науки;0,7;Научная сфера стабильна, но зависит от финансирования.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B053 — Физические и химические науки;0,8;Академическая и прикладная стабильность профессий.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B054 — Математика и статистика;0,8;Аналитические профессии устойчиво востребованы.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B031 — Социальные науки;0,7;Относительная стабильность, но зависит от рынка труда.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B032 — Журналистика и информация;0,6;Медиаиндустрия менее стабильна из-за цифровых изменений.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B061 — Информационно-коммуникационные технологии;0,9;IT-профессии имеют устойчивый рост и долгосрочную востребованность.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B063 — Информационная безопасность;0,9;Высокая стабильность из-за постоянной потребности в защите данных.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B062 — Телекоммуникации;0,9;Сфера связи остаётся ключевой для экономики.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B071 — Инженерия и инженерное дело;0,9;Производственная сфера устойчива и постоянно востребована.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B073 — Архитектура и строительство;0,9;Строительство — фундаментальная и стабильная отрасль.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B111 — Сфера обслуживания;0,8;Туризм и сервис могут быть стабильными при развитой экономике.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B113 — Транспортные услуги;0,9;Логистика и транспорт — ключевые и устойчивые отрасли.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B021 — Искусство;0,6;Сфера творческая, но менее предсказуемая.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B022 — Гуманитарные науки;0,7;Академическая стабильность, но ограниченные карьерные возможности.;;;;;;
Ценности;Для меня важна стабильность и надёжность будущей профессии.;6B023 — Языки и литература;0,8;Преподавание и перевод — устойчивые сферы.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B111 — Сфера обслуживания;1;Туризм, гостиничное дело и сервис напрямую связаны с путешествиями и работой с иностранцами.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B113 — Транспортные услуги;1;Международные перевозки и логистика включают постоянные поездки и взаимодействие с партнёрами.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B041 — Бизнес и управление;0,9;Международный бизнес, командировки, партнёрства с зарубежными компаниями.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B017 — Подготовка учителей по языкам и литературе;0,9;Возможность преподавания за рубежом и участие в международных программах.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B023 — Языки и литература;0,9;Переводческая деятельность и международные конференции.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B032 — Журналистика и информация;0,9;Международные репортажи, участие в глобальных медиа.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B021 — Искусство;0,8;Творческие профессии связаны с гастролями, фестивалями, международными выставками.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B061 — Информационно-коммуникационные технологии;0,8;Работа в международных IT-компаниях, проекты с зарубежными партнёрами.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B062 — Телекоммуникации;0,8;Международные проекты в сфере связи и технологий.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B063 — Информационная безопасность;0,8;Международное сотрудничество в области кибербезопасности.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B042 — Право;0,8;Международное право, транснациональные юридические компании.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B071 — Инженерия и инженерное дело;0,8;Проекты с международными подрядчиками и командировки.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B073 — Архитектура и строительство;0,8;Участие в международных конкурсах, строительных проектах.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B075 — Стандартизация, сертификация и метрология;0,7;Международная гармонизация стандартов.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B011 — Педагогика и психология;0,6;Возможность участия в международных образовательных программах.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B012 — Педагогика дошкольного воспитания и обучения;0,5;Международные обмены и программы для педагогов.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B013 — Подготовка учителей без предметной специализации;0,5;Возможность участия в образовательных стажировках.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B014 — Подготовка учителей с предметной специализацией общего развития;0,5;Участие в международных образовательных инициативах.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B015 — Подготовка учителей по естественнонаучным предметам;0,6;Международные образовательные конференции и обмены.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B016 — Подготовка учителей по гуманитарным предметам;0,6;Возможность участия в международных гуманитарных программах.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B018 — Подготовка специалистов по социальной педагогике;0,5;Международные образовательные и инклюзивные проекты.;;;;;;
Ценности;Я хочу, чтобы моя будущая работа была связана с путешествиями и международным взаимодействием.;6B031 — Социальные науки;0,8;Международные исследования и академические обмены.;;;;;;
